,Ubiquity
Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,9
Fabricação de tratores agrícolas,14
"Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores",20
"Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta",12
"Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo",15
"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos",12
Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores,11
Transporte ferroviário de carga,18
"Concessionárias de rodovias, pontes, túneis e serviços relacionados",13
Terminais rodoviários e ferroviários,11
"Distribuição cinematográfica, de vídeo e de programas de televisão",8
Banco Central,8
Sociedades de crédito ao microempreendedor,2
Bancos de câmbio e outras instituições de intermediação não monetária,6
Preparação e fiação de fibras de algodão,5
Tecelagem de fios de algodão,15
Fabricação de produtos petroquímicos básicos,13
Fabricação de cal e gesso,2
Fabricação de compressores,3
Fabricação de equipamentos para irrigação agrícola,2
Transporte metroferroviário de passageiros,11
Cultivo de uva,10
Fabricação de açúcar em bruto,11
Fabricação de açúcar refinado,4
Fabricação de produtos do fumo,4
Fabricação de cloro e álcalis,14
"Fabricação de tratores, exceto agrícolas",7
Fabricação de peças e acessórios para veículos ferroviários,4
Manutenção e reparação de veículos ferroviários,10
"Bancos múltiplos, sem carteira comercial",8
Atividades de exploração de jogos de azar e apostas,6
Extração e refino de sal marinho e sal-gema,6
"Fabricação de partes para calçados, de qualquer material",13
"Fabricação de intermediários para plastificantes, resinas e fibras",8
Produção de forjados de aço e de metais não ferrosos e suas ligas,12
"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico",7
Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo,6
Fabricação de instrumentos musicais,1
Extração de minerais radioativos,2
Fabricação de linhas para costurar e bordar,4
Fabricação de tênis de qualquer material,6
Fabricação de resinas termofixas,10
Fabricação de fibras artificiais e sintéticas,6
Fabricação de tintas de impressão,5
Fabricação de preparações farmacêuticas,5
Fabricação de máquinas e equipamentos para a indústria têxtil,12
Fabricação de máquinas e equipamentos para a indústria do plástico,8
"Fabricação de locomotivas, vagões e outros materiais rodantes",3
Operadoras de televisão por assinatura por satélite,8
Atividades de investigação particular,8
Bancos de desenvolvimento,11
Extração de carvão mineral,7
Fiação de fibras artificiais e sintéticas,5
Fabricação de meias,8
Fabricação de embalagens de vidro,5
Fabricação de caminhões e ônibus,3
Fabricação de aeronaves,9
Bancos de investimento,1
Cultivo de fumo,5
Processamento industrial do fumo,5
Fabricação de produtos à base de café,4
"Fabricação de mídias virgens, magnéticas e ópticas",5
Fabricação de catalisadores,9
"Fabricação de equipamento bélico pesado, armas de fogo e munições",6
"Trens turísticos, teleféricos e similares",5
Administração de bolsas e mercados de balcão organizados,13
Fundos de investimento,6
Resseguros,9
Relações exteriores,10
Fabricação de cartolina e papel-cartão,13
"Fabricação de turbinas, motores e outros componentes e peças para aeronaves",8
Fabricação de veículos militares de combate,3
Transporte espacial,9
Arrendamento mercantil,10
Não especificado,3
